国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),Pages per Scan,Aspect,TitleHiragana,TitleRomanji,NrImages,Estimate
200018881,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１６６,文政２,1819,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,483,False
200018884,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１６７,文政３,1820,4,冊,2,Portrait,ぶんせいぶかん,bunseibukan,483,False
200018887,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１６８,文政４,1821,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,488,False
200018888,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１６９,文政５,1822,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,489,False
200018891,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１７０,文政６,1823,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,494,False
200018895,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１７１,文政７,1824,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,494,False
200018896,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１７２,文政８,1825,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,489,False
200018903,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１７３,文政９,1826,4,冊,2,Portrait,ぶんせいぶかん,bunseibukan,509,False
200018905,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１７４,文政９,1826,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,178,True
200018906,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１７５,文政１０,1827,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,512,False
200018907,H29.12,政治・法制,文政武鑑,刊,ＭＹ－１２０１－１７６,文政１１,1828,1,冊,2,Portrait,ぶんせいぶかん,bunseibukan,518,False
