国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,TitleHiragana,TitleRomanji,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),NrPages,Aspect,NrImages
200018884,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１６７,文政３,1820,4,冊,2,Portrait,483
200018887,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１６８,文政４,1821,1,冊,2,Portrait,488
200018888,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１６９,文政５,1822,1,冊,2,Portrait,489
200018891,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１７０,文政６,1823,1,冊,2,Portrait,494
200018895,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１７１,文政７,1824,1,冊,2,Portrait,494
200018896,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１７２,文政８,1825,1,冊,2,Portrait,489
200018903,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１７３,文政９,1826,4,冊,2,Portrait,509
200018905,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１７４,［文政９］,[1826],1,冊,2,Portrait,178
200018906,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１７５,文政１０,1827,1,冊,2,Portrait,512
200018907,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１７６,文政１１,1828,1,冊,2,Portrait,518
200018908,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１７７,文政１２,1829,3,冊,2,Portrait,334
200018909,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１７８,文政１３,1830,1,冊,2,Portrait,524
200018914,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１７９,天保２,1831,1,冊,2,Portrait,527
200018915,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１８０,天保３,1832,1,冊,2,Portrait,525
200018917,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１８１,天保３,1832,4,冊,2,Portrait,524
200018921,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１８２,天保４,1833,4,冊,2,Portrait,523
200018923,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１８３,天保５,1834,1,冊,2,Portrait,525
200018925,H29.12,政治・法制,天保武鑑,てんぽうぶかん,tenpōbukan,刊,ＭＹ－１２０１－１８４,天保６,1835,4,冊,2,Portrait,524
200018930,H29.12,政治・法制,大成武鑑,たいせいぶかん,taiseibukan,刊,ＭＹ－１２０１－１８５,天保７,1836,4,冊,2,Portrait,607
